brand,model_year,description,fuel,transmission,engine,mileage,price,currency,url,image
Toyota,2021,Toyota Aqua 2021 for sale in Islamabad,Hybrid,Automatic,1500cc,"22,000 km",3799000,PKR,https://www.pakwheels.com/used-cars/toyota-aqua-2021-for-sale-in-islamabad-8158030,https://cache3.pakwheels.com/ad_pictures/1283/toyota-aqua-z-4-2021-128353575.jpg
Toyota,2021,Toyota Yaris Hatchback 2021 for sale in Islamabad,Petrol,Automatic,1000cc,"85,000 km",4399000,PKR,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-islamabad-10314129,https://cache1.pakwheels.com/ad_pictures/1251/toyota-yaris-hatchback-g-1-0-2021-125157339.jpg
Daihatsu,2022,Daihatsu Move 2022 for sale in Islamabad,Petrol,Automatic,660cc,"33,000 km",3699000,PKR,https://www.pakwheels.com/used-cars/daihatsu-move-2022-for-sale-in-islamabad-10483959,https://cache1.pakwheels.com/ad_pictures/1277/daihatsu-move-l-6-2022-127783751.jpg
Suzuki,2019,Suzuki Swift 2019 for sale in Peshawar,Petrol,Automatic,1300cc,"200,000 km",2796000,PKR,https://www.pakwheels.com/used-cars/suzuki-swift-2019-for-sale-in-peshawar-10641634,https://cache3.pakwheels.com/ad_pictures/1324/suzuki-swift-dlx-automatic-1-3-navigation-2019-132424490.jpg
Toyota,2016,Toyota Corolla 2016 for sale in Rawalpindi,Petrol,Automatic,1600cc,"113,500 km",4350000,PKR,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-rawalpindi-10484397,https://cache2.pakwheels.com/ad_pictures/1277/toyota-corolla-altis-1-6-automatic-2016-127790615.jpg
Toyota,2020,Toyota Raize 2020 for sale in Lahore,Petrol,Automatic,1000cc,"5,000 km",6600000,PKR,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-lahore-10834835,https://cache1.pakwheels.com/ad_pictures/1332/toyota-raize-z-5-2020-133267938.jpg
Suzuki,2020,Suzuki Jimny 2020 for sale in Islamabad,Petrol,Automatic,660cc,"36,000 km",4999000,PKR,https://www.pakwheels.com/used-cars/suzuki-jimny-2020-for-sale-in-islamabad-10531253,https://cache4.pakwheels.com/ad_pictures/1285/suzuki-jimny-turbo-8-2020-128522831.jpg
Honda,2017,Honda City 2017 for sale in Lahore,Petrol,Manual,1500cc,"72,000 km",3410000,PKR,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-lahore-10827167,https://cache1.pakwheels.com/ad_pictures/1331/honda-city-1-5-i-vtec-2017-133147818.jpg
Toyota,2017,Toyota Corolla 2017 for sale in Karachi,Petrol,Automatic,1300cc,"98,000 km",3700000,PKR,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-10824448,https://cache3.pakwheels.com/ad_pictures/1331/toyota-corolla-gli-vvti-automatic-2017-133106948.jpg
Toyota,2000,Toyota Land Cruiser 2000 for sale in Lahore,Diesel,Manual,4200cc,"88,000 km",9800000,PKR,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2000-for-sale-in-lahore-10787942,https://cache3.pakwheels.com/ad_pictures/1332/toyota-land-cruiser-2000-133263546.jpg
